10000
100,;
0,101,;
1,102,;
2,103,;
3,104,;
4,105,;
5,106,;
6,107,;
7,108,;
8,109,;
9,110,;
10,111,;
11,112,;
12,113,;
13,114,;
14,115,;
15,116,;
16,117,;
17,118,;
18,119,;
19,120,;
20,121,;
21,122,;
22,123,;
23,124,;
24,125,;
25,126,;
26,127,;
27,128,;
28,129,;
29,130,;
30,131,;
31,132,;
32,133,;
33,134,;
34,;
35,;
36,;
37,;
38,;
39,;
40,;
41,;
42,;
43,;
44,;
45,;
46,;
47,;
48,;
49,51,;
52,;
53,;
54,;
55,;
56,;
57,;
58,;
59,;
60,;
61,;
62,;
63,;
64,;
65,;
66,;
67,;
68,167,;
69,168,;
70,169,;
71,170,;
72,171,;
73,172,;
74,173,;
75,174,;
76,175,;
77,176,;
78,177,;
79,178,;
80,179,;
81,180,;
82,181,;
83,182,;
84,183,;
85,184,;
86,185,;
87,186,;
88,187,;
89,188,;
90,189,;
91,190,;
92,191,;
93,192,;
94,193,;
95,194,;
96,195,;
97,196,;
98,197,;
99,198,;
199,;
200,;
100,201,;
101,202,;
102,203,;
103,204,;
104,205,;
105,206,;
106,207,;
107,208,;
108,209,;
109,210,;
110,211,;
111,212,;
112,213,;
113,214,;
114,215,;
115,216,;
116,217,;
117,218,;
118,219,;
119,220,;
120,221,;
121,222,;
122,223,;
123,224,;
124,225,;
125,226,;
126,227,;
127,228,;
128,229,;
129,230,;
130,231,;
131,232,;
132,233,;
133,234,;
134,35,;
135,36,;
136,37,;
137,38,;
138,39,;
139,40,;
140,41,;
141,42,;
142,43,;
143,44,;
144,45,;
145,46,;
146,47,;
147,48,;
148,49,;
149,50,151,;
51,152,;
52,153,;
53,154,;
54,155,;
55,156,;
56,157,;
57,158,;
58,159,;
59,160,;
60,161,;
61,162,;
62,163,;
63,164,;
64,165,;
65,166,;
66,167,;
168,267,;
169,268,;
170,269,;
171,270,;
172,271,;
173,272,;
174,273,;
175,274,;
176,275,;
177,276,;
178,277,;
179,278,;
180,279,;
181,280,;
182,281,;
183,282,;
184,283,;
185,284,;
186,285,;
187,286,;
188,287,;
189,288,;
190,289,;
191,290,;
192,291,;
193,292,;
194,293,;
195,294,;
196,295,;
197,296,;
198,297,;
199,298,;
299,;
300,;
200,301,;
201,302,;
202,303,;
203,304,;
204,305,;
205,306,;
206,307,;
207,308,;
208,309,;
209,310,;
210,311,;
211,312,;
212,313,;
213,314,;
214,315,;
215,316,;
216,317,;
217,318,;
218,319,;
219,320,;
220,321,;
221,322,;
222,323,;
223,324,;
224,325,;
225,326,;
226,327,;
227,328,;
228,329,;
229,330,;
230,331,;
231,332,;
232,333,;
233,;
234,135,;
235,136,;
236,137,;
237,138,;
238,139,;
239,140,;
240,141,;
241,142,;
242,143,;
243,144,;
244,145,;
245,146,;
246,147,;
247,148,;
248,149,;
249,150,251,;
151,252,;
152,253,;
153,254,;
154,255,;
155,256,;
156,257,;
157,258,;
158,259,;
159,260,;
160,261,;
161,262,;
162,263,;
163,264,;
164,265,;
165,266,;
166,267,;
268,367,;
269,368,;
270,369,;
271,370,;
272,371,;
273,372,;
274,373,;
275,374,;
276,375,;
277,376,;
278,377,;
279,378,;
280,379,;
281,380,;
282,381,;
283,382,;
284,383,;
285,384,;
286,385,;
287,386,;
288,387,;
289,388,;
290,389,;
291,390,;
292,391,;
293,392,;
294,393,;
295,394,;
296,395,;
297,396,;
298,397,;
299,398,;
399,;
400,;
300,401,;
301,402,;
302,403,;
303,404,;
304,405,;
305,406,;
306,407,;
307,408,;
308,409,;
309,410,;
310,411,;
311,412,;
312,413,;
313,414,;
314,415,;
315,416,;
316,417,;
317,418,;
318,419,;
319,420,;
320,421,;
321,422,;
322,423,;
323,424,;
324,425,;
325,426,;
326,427,;
327,428,;
328,429,;
329,430,;
330,431,;
331,432,;
332,433,;
333,234,;
334,235,;
335,236,;
336,237,;
337,238,;
338,239,;
339,240,;
340,241,;
341,242,;
342,243,;
343,244,;
344,245,;
345,246,;
346,247,;
347,248,;
348,249,;
349,250,351,;
251,352,;
252,353,;
253,354,;
254,355,;
255,356,;
256,357,;
257,358,;
258,359,;
259,360,;
260,361,;
261,362,;
262,363,;
263,364,;
264,365,;
265,366,;
266,367,;
368,467,;
369,468,;
370,469,;
371,470,;
372,471,;
373,472,;
374,473,;
375,474,;
376,475,;
377,476,;
378,477,;
379,478,;
380,479,;
381,480,;
382,481,;
383,482,;
384,483,;
385,484,;
386,485,;
387,486,;
388,487,;
389,488,;
390,489,;
391,490,;
392,491,;
393,492,;
394,493,;
395,494,;
396,495,;
397,496,;
398,497,;
399,498,;
499,;
500,;
400,501,;
401,502,;
402,503,;
403,504,;
404,505,;
405,506,;
406,507,;
407,508,;
408,509,;
409,510,;
410,511,;
411,512,;
412,513,;
413,514,;
414,515,;
415,516,;
416,517,;
417,518,;
418,519,;
419,520,;
420,521,;
421,522,;
422,523,;
423,524,;
424,525,;
425,526,;
426,527,;
427,528,;
428,529,;
429,530,;
430,;
431,;
432,;
433,334,;
434,335,;
435,336,;
436,337,;
437,338,;
438,339,;
439,340,;
440,341,;
441,342,;
442,343,;
443,344,;
444,345,;
445,346,;
446,347,;
447,348,;
448,349,;
